
[veu-audit] ===== desktop — 115 nós de texto =====
seletor | cor | opacidade | fontSize | fontWeight | ratio | piso | resultado
#cl-hero span "// FRESHLY BREWED · DUBLIN 8" | rgb(247,242,234) | 1 | 9.92px | 400 | 5.93:1 | 4.5:1 | APROVA
#cl-hero span "Café Lisboa" | rgb(247,242,234) | 1 | 80px | 400 | 6.22:1 | 4.5:1 | APROVA
#cl-hero span "Your morning, done right." | rgb(200,155,106) | 1 | 30.4px | 400 | 3:1 | 4.5:1 | REPROVA
#cl-hero p "Open since seven. The first pour goes ou" | rgb(248,242,234) | 0.8 | 16.8px | 400 | 6.01:1 | 4.5:1 | APROVA
#cl-hero a "View the menu" | rgb(28,22,20) | 1 | 15.2px | 500 | 7.11:1 | 4.5:1 | APROVA
#cl-hero a "Find us→" | rgb(247,242,234) | 1 | 14.4px | 400 | 9.34:1 | 4.5:1 | APROVA
#cl-hero span "4.8" | rgb(247,242,234) | 1 | 41.6px | 400 | 16.13:1 | 4.5:1 | APROVA
#cl-hero span "GOOGLE RATING" | rgb(248,242,233) | 0.55 | 8.96px | 400 | 5.49:1 | 4.5:1 | APROVA
#cl-hero span "503" | rgb(247,242,234) | 1 | 41.6px | 400 | 15.06:1 | 4.5:1 | APROVA
#cl-hero span "REVIEWS" | rgb(248,242,233) | 0.55 | 8.96px | 400 | 4.84:1 | 4.5:1 | APROVA
#cl-hero span "7AM" | rgb(247,242,234) | 1 | 41.6px | 400 | 8.67:1 | 4.5:1 | APROVA
#cl-hero span "OPEN FROM" | rgb(248,242,233) | 0.55 | 8.96px | 400 | 3.79:1 | 4.5:1 | REPROVA
#cl-manifesto span "02 · Manifesto" | rgb(120,113,108) | 1 | 13px | 400 | 4.53:1 | 4.5:1 | APROVA
#cl-manifesto span "Meath Street, every" | rgb(28,25,23) | 1 | 48px | 400 | 16.5:1 | 4.5:1 | APROVA
#cl-manifesto span "morning since 2019." | rgb(28,25,23) | 1 | 48px | 400 | 16.5:1 | 4.5:1 | APROVA
#cl-manifesto div "We opened the green corner door in 2019." | rgb(120,113,108) | 1 | 17px | 400 | 4.53:1 | 4.5:1 | APROVA
#cl-manifesto div "This isn’t a place to rush through. Ther" | rgb(120,113,108) | 1 | 17px | 400 | 4.53:1 | 4.5:1 | APROVA
#cl-manifesto div "Ask for Sara behind the counter — she’s " | rgb(120,113,108) | 1 | 17px | 400 | 4.53:1 | 4.5:1 | APROVA
#cl-manifesto div "EST. 2019" | rgb(120,113,108) | 1 | 12px | 400 | 4.49:1 | 4.5:1 | REPROVA
#cl-menu span "03 · Menu" | rgb(120,113,108) | 1 | 13px | 400 | 4.53:1 | 4.5:1 | APROVA
#cl-menu span "Coffee" | rgb(28,25,23) | 1 | 22px | 400 | 16.5:1 | 4.5:1 | APROVA
#cl-menu span "Pastries" | rgb(168,162,158) | 1 | 22px | 400 | 2.38:1 | 4.5:1 | REPROVA
#cl-menu span "Toasted" | rgb(168,162,158) | 1 | 22px | 400 | 2.38:1 | 4.5:1 | REPROVA
#cl-menu span "Cold" | rgb(168,162,158) | 1 | 22px | 400 | 2.38:1 | 4.5:1 | REPROVA
#cl-menu span "01" | rgb(29,24,22) | 0.45 | 13px | 400 | 2.88:1 | 4.5:1 | REPROVA
#cl-menu span "Flat white" | rgb(28,25,23) | 1 | 26px | 400 | 16.5:1 | 4.5:1 | APROVA
#cl-menu span "€4.20" | rgb(28,25,23) | 1 | 26px | 400 | 16.49:1 | 4.5:1 | APROVA
#cl-menu span "02" | rgb(29,24,22) | 0.45 | 13px | 400 | 2.88:1 | 4.5:1 | REPROVA
#cl-menu span "Filter, single origin" | rgb(28,25,23) | 1 | 26px | 400 | 16.5:1 | 4.5:1 | APROVA
#cl-menu span "€4.50" | rgb(28,25,23) | 1 | 26px | 400 | 16.49:1 | 4.5:1 | APROVA
#cl-menu span "03" | rgb(29,24,22) | 0.45 | 13px | 400 | 2.88:1 | 4.5:1 | REPROVA
#cl-menu span "Cortado" | rgb(28,25,23) | 1 | 26px | 400 | 16.5:1 | 4.5:1 | APROVA
#cl-menu span "€3.80" | rgb(28,25,23) | 1 | 26px | 400 | 16.49:1 | 4.5:1 | APROVA
#cl-menu span "04" | rgb(29,24,22) | 0.45 | 13px | 400 | 2.88:1 | 4.5:1 | REPROVA
#cl-menu span "Pour over, house blend" | rgb(28,25,23) | 1 | 26px | 400 | 16.5:1 | 4.5:1 | APROVA
#cl-menu span "€4.80" | rgb(28,25,23) | 1 | 26px | 400 | 16.49:1 | 4.5:1 | APROVA
#cl-menu span "05" | rgb(29,24,22) | 0.45 | 13px | 400 | 2.88:1 | 4.5:1 | REPROVA
#cl-menu span "Espresso" | rgb(28,25,23) | 1 | 26px | 400 | 16.5:1 | 4.5:1 | APROVA
#cl-menu span "€3.20" | rgb(28,25,23) | 1 | 26px | 400 | 16.49:1 | 4.5:1 | APROVA
#cl-menu span "06" | rgb(29,24,22) | 0.45 | 13px | 400 | 2.88:1 | 4.5:1 | REPROVA
#cl-menu span "Cappuccino" | rgb(28,25,23) | 1 | 26px | 400 | 16.5:1 | 4.5:1 | APROVA
#cl-menu span "€4.00" | rgb(28,25,23) | 1 | 26px | 400 | 16.49:1 | 4.5:1 | APROVA
#cl-menu span "07" | rgb(29,24,22) | 0.45 | 13px | 400 | 2.88:1 | 4.5:1 | REPROVA
#cl-menu span "Mocha" | rgb(28,25,23) | 1 | 26px | 400 | 16.5:1 | 4.5:1 | APROVA
#cl-menu span "€4.60" | rgb(28,25,23) | 1 | 26px | 400 | 16.49:1 | 4.5:1 | APROVA
#cl-menu span "08" | rgb(29,24,22) | 0.45 | 13px | 400 | 2.88:1 | 4.5:1 | REPROVA
#cl-menu span "Iced americano" | rgb(28,25,23) | 1 | 26px | 400 | 16.5:1 | 4.5:1 | APROVA
#cl-menu span "€4.00" | rgb(28,25,23) | 1 | 26px | 400 | 16.49:1 | 4.5:1 | APROVA
#cl-menu button "Allergen info (14) →" | rgb(120,113,108) | 1 | 13px | 400 | 4.45:1 | 4.5:1 | REPROVA
